size,threads,time_us,gflops,speedup,efficiency
1000,1,404.0,4.9505,1.0,100.0
1000,2,436.0,4.58716,0.926605504587156,46.330275229357795
1000,4,698.0,2.86533,0.5787965616045845,14.469914040114611
1000,8,667.0,2.9985,0.6056971514242878,7.571214392803598
2000,1,2610.0,3.06513,1.0,100.0
2000,2,1653.0,4.83969,1.5789473684210527,78.94736842105263
2000,4,1188.0,6.73401,2.196969696969697,54.92424242424242
2000,8,1129.0,7.08592,2.311780336581045,28.897254207263064
4000,1,9731.0,3.28846,1.0,100.0
4000,2,5331.0,6.00263,1.8253610954792723,91.26805477396361
4000,4,5843.0,5.47664,1.6654116036282731,41.635290090706825
4000,8,3121.0,10.2531,3.117910925985261,38.973886574815765
8000,1,42651.0,3.0011,1.0,100.0
8000,2,23554.0,5.43432,1.8107752398743313,90.53876199371656
8000,4,13759.0,9.303,3.0998619085689367,77.49654771422342
8000,8,8966.0,14.2762,4.756970778496543,59.46213473120678
